6시간
N1 : 991379  W1: 429355
T2_N : 562024  T2_W : 81614

N2 : 974021  W2: 435599
T2_N : 538422  T2_W : 95202

N3 : 721791  W3: 178814
T2_N : 542977  T2_W : 82446

N4 : 732445  W4: 206538
T2_N : 525907  T2_W : 80440

N5 : 888291  W5: 357450
T2_N : 530841  T2_W : 63032

N6 : 1259149  W6: 532510
T2_N : 726639  T2_W : 204705

N7 : 699493  W7: 187882
T2_N : 511611  T2_W : 67926

N8 : 650015  W8: 154971
T2_N : 495044  T2_W : 61013

N9 : 850221  W9: 177639
T2_N : 672582  T2_W : 134167

N10 : 965710  W10: 430691
T2_N : 535019  T2_W : 103283

N11 : 697534  W11: 156185
T2_N : 541349  T2_W : 95552

N12 : 772775  W12: 213975
T2_N : 558800  T2_W : 101306

N13 : 967196  W13: 398679
T2_N : 568517  T2_W : 98878

N14 : 966081  W14: 435275
T2_N : 530806  T2_W : 80829

N15 : 931996  W15: 289846
T2_N : 642150  T2_W : 131223

N16 : 767581  W16: 190626
T2_N : 576955  T2_W : 100859

N17 : 1000912  W17: 387852
T2_N : 613060  T2_W : 127589

N18 : 991901  W18: 436095
T2_N : 555806  T2_W : 95027

N19 : 789055  W19: 210332
T2_N : 578723  T2_W : 92380

N20 : 770453  W20: 219427
T2_N : 551026  T2_W : 87189

N21 : 1179123  W21: 424429
T2_N : 754694  T2_W : 146633

N22 : 1000475  W22: 447653
T2_N : 552822  T2_W : 95737

N23 : 743423  W23: 183846
T2_N : 559577  T2_W : 89104

N24 : 685421  W24: 208539
T2_N : 476882  T2_W : 71746

N25 : 1009089  W25: 415611
T2_N : 593478  T2_W : 115339

N26 : 1064417  W26: 459643
T2_N : 604774  T2_W : 135491

N27 : 717926  W27: 179768
T2_N : 538158  T2_W : 68100

N28 : 690849  W28: 154315
T2_N : 536534  T2_W : 70059

1번째 ui =  : 161561
2번째 ui =  : 140674
3번째 ui =  : 139883
4번째 ui =  : 163698
5번째 ui =  : 161275
6번째 ui =  : 141721
7번째 ui =  : 140474
8번째 ui =  : 138061
9번째 ui =  : 139726
10번째 ui =  : 137272
11번째 ui =  : 137622
12번째 ui =  : 182446
13번째 ui =  : 153069
14번째 ui =  : 139417
15번째 ui =  : 146277
16번째 ui =  : 165296
17번째 ui =  : 138420
18번째 ui =  : 137650
19번째 ui =  : 145146
20번째 ui =  : 156677
21번째 ui =  : 190320
22번째 ui =  : 141492
23번째 ui =  : 141766
24번째 ui =  : 141749
25번째 ui =  : 154776
26번째 ui =  : 139529
27번째 ui =  : 140244
-------------------------------------------------------------------------
3시간

